schema_version,offer_number,revision,record_type,status,item_code,description,quantity,unit,unit_price_eur,net_eur,tax_rate_percent,tax_eur,gross_eur,reason
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-001,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 1. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",52,M2,10.99,571.48,19.00,108.58,680.06,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-002,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 2. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",2,STK,5.50,11.00,19.00,2.09,13.09,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-003,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 3. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",3,STK,5.75,17.25,19.00,3.28,20.53,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-004,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 4. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",4,STK,6.00,24.00,19.00,4.56,28.56,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-005,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 5. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",5,STK,6.25,31.25,19.00,5.94,37.19,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-006,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 6. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",6,STK,6.50,39.00,19.00,7.41,46.41,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-007,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 7. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",7,STK,6.75,47.25,19.00,8.98,56.23,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-008,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 8. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",8,STK,7.00,56.00,19.00,10.64,66.64,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-009,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 9. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",9,STK,7.25,65.25,19.00,12.40,77.65,
handwerk.vertical-slice.v1,SYN-WB-2026-0007,3,LINE,PRICED,WB-010,"Synthetische Leistungsbeschreibung für sorgfältiges Beschichten von Wandflächen in Küche, Flur und Übergangsbereich: Untergrund prüfen, Fläche staubfrei vorbereiten und gleichmäßig mit emissionsarmer weißer Dispersionsfarbe bearbeiten. Anschlüsse an Türzargen, Fußleisten und Fensterlaibungen sauber ausführen; örtliche Besonderheiten und ausdrücklich bestätigte Maße bleiben nachvollziehbar. Äußere Kanten, größere Übergänge und übliche Unebenheiten werden übersichtlich dokumentiert. Position 10. Überprüfung mit Umlauten: ä, ö, ü, Ä, Ö, Ü und ß.",10,STK,7.50,75.00,19.00,14.25,89.25,
